소분류,발생,검거,검거비율
정보통신망이용촉진및정보보호등에관한법률위반(기타),4116,2735,0.664480
주거침입의죄,11641,8807,0.756550
주민등록법,2327,1635,0.702621
주차장법,249,242,0.971888
집회및시위에관한법률,523,512,0.978967
채무자회생및파산에관한법률위반,90,78,0.866667
철도안전법,43,43,1.000000
청소년보호법,8782,8698,0.990435
총포·도검·화약류등의안전관리에관한법률,1450,1396,0.962759
축산물위생관리법,934,933,0.998929
출입국관리법,2600,2528,0.972308
통신비밀보호법,137,124,0.905109
특가법(장물),2,3,1.500000
폭력행위등처벌에관한법률위반(기타),1,0,0.000000
하수도법,242,242,1.000000
하천법,211,207,0.981043
학원의설립·운영및과외교섭에관한법률,532,530,0.996241
항만운송사업법,67,66,0.985075
허위감정 증거인멸·은닉 증인은닉죄,90,71,0.788889
형사소송법,1,1,1.000000
형의실효등에관한법률,3,3,1.000000
화물자동차운수사업법,1544,1536,0.994819
기타,21084,19163,0.908888
